"key","date","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_workplaces","new_confirmed","new_deceased","average_temperature","rainfall"
"US_NJ_34001","5/1/20",-56,-14,-56,48,4,15.228395,7.4506667
"US_NJ_34003","5/1/20",-60,-18,-62,220,51,14.188889,11.599333
"US_NJ_34005","5/1/20",-51,-13,-54,79,14,15.95,10.1092
"US_NJ_34007","5/1/20",-43,-13,-51,127,8,15.916667,6.731
"US_NJ_34009","5/1/20",-36,-6,-42,11,0,14.736111,3.71475
"US_NJ_34011","5/1/20",-28,-9,-37,23,1,15.319444,3.683
"US_NJ_34013","5/1/20",-56,-17,-54,312,54,14.311111,9.0311111
"US_NJ_34015","5/1/20",-42,-11,-50,31,2,15.772222,5.4102
"US_NJ_34017","5/1/20",-54,-16,-65,232,21,14.294444,9.9822
"US_NJ_34019","5/1/20",-51,-16,-59,5,2,15.816667,15.691556
"US_NJ_34021","5/1/20",-55,-17,-56,140,8,15.922222,12.6492
"US_NJ_34023","5/1/20",-59,-22,-58,232,20,14.372222,9.7931111
"US_NJ_34025","5/1/20",-57,-17,-54,99,14,14.25,6.0706
"US_NJ_34027","5/1/20",-60,-20,-61,67,17,14.988889,15.465778
"US_NJ_34029","5/1/20",-48,-16,-49,130,23,15.246914,9.2004444
"US_NJ_34031","5/1/20",-56,-14,-53,365,26,14.544444,16.735778
"US_NJ_34033","5/1/20",-35,1,-40,6,1,15.277778,3.9624
"US_NJ_34035","5/1/20",-60,-22,-61,73,12,15.061111,11.317111
"US_NJ_34037","5/1/20",-42,-12,-52,15,7,14.58642,22.098
"US_NJ_34039","5/1/20",-49,-15,-55,201,24,14.311111,9.0311111
"US_NJ_34041","5/1/20",-29,-14,-49,17,1,15.105556,20.461111
"US_NJ_34001","5/2/20",-51,-4,-48,38,3,16.666667,0.31044444
"US_NJ_34003","5/2/20",-60,-16,-44,144,15,16.327778,1.905
"US_NJ_34005","5/2/20",-48,-7,-29,110,2,16.677778,0.7366
"US_NJ_34007","5/2/20",-43,-5,-30,127,6,16.772222,0.381
"US_NJ_34009","5/2/20",-14,20,-25,3,1,16.291667,0.22225
"US_NJ_34011","5/2/20",-24,-4,-20,63,3,16.583333,0.22225
"US_NJ_34013","5/2/20",-52,-14,-35,254,25,16.583333,1.7272
"US_NJ_34015","5/2/20",-42,-8,-27,52,2,16.8,0.1778
"US_NJ_34017","5/2/20",-51,-14,-43,253,15,16.605556,2.0828
"US_NJ_34019","5/2/20",-45,-2,-35,14,4,16.261111,0.7366
"US_NJ_34021","5/2/20",-52,-9,-30,194,13,16.627778,0.8128
"US_NJ_34023","5/2/20",-59,-18,-37,266,27,16.2,1.1938
"US_NJ_34025","5/2/20",-53,-10,-34,66,17,16.288889,0.7112
"US_NJ_34027","5/2/20",-57,-16,-38,52,10,16.333333,1.7018
"US_NJ_34029","5/2/20",-41,-4,-28,187,6,16.493827,0.31044444
